date;time;value
01-02-2017;15:46:52;0
01-02-2017;15:46:54;0
01-02-2017;15:46:56;0
01-02-2017;15:46:58;0
01-02-2017;15:47:00;0
01-02-2017;15:47:02;1
01-02-2017;15:47:09;0
01-02-2017;15:47:11;0
01-02-2017;15:47:13;0
01-02-2017;15:47:15;0
01-02-2017;15:47:17;0
01-02-2017;15:47:19;0
01-02-2017;15:47:21;0
01-02-2017;15:47:23;0
01-02-2017;15:47:26;0
01-02-2017;15:47:28;0
01-02-2017;15:47:30;0
01-02-2017;15:47:32;0
01-02-2017;15:47:34;0
01-02-2017;15:47:36;0
01-02-2017;15:47:38;0
01-02-2017;15:47:40;0
01-02-2017;15:47:42;0
01-02-2017;15:47:44;0
01-02-2017;15:47:46;0
01-02-2017;15:47:48;0
01-02-2017;15:47:50;0
01-02-2017;15:47:52;0
01-02-2017;15:47:54;0
01-02-2017;15:47:58;2
01-02-2017;15:47:59;2
01-02-2017;15:48:04;2
01-02-2017;15:48:05;2
01-02-2017;15:48:11;2
01-02-2017;15:48:12;2
01-02-2017;15:48:17;2
01-02-2017;15:48:18;2
01-02-2017;15:48:23;2
01-02-2017;15:48:24;2
01-02-2017;15:48:29;2
01-02-2017;15:48:30;2
01-02-2017;15:48:35;2
01-02-2017;15:48:36;2
01-02-2017;15:48:41;2
01-02-2017;15:48:42;2
01-02-2017;15:48:46;2
01-02-2017;15:48:47;2
01-02-2017;15:48:50;2
01-02-2017;15:48:50;2
01-02-2017;15:48:53;2
01-02-2017;15:48:53;2
01-02-2017;15:48:57;2
01-02-2017;15:48:57;2
01-02-2017;15:48:59;2
01-02-2017;15:48:59;2
01-02-2017;15:49:02;2
01-02-2017;15:49:02;2
01-02-2017;15:49:05;2
01-02-2017;15:49:05;2
01-02-2017;15:49:08;2
01-02-2017;15:49:08;2
01-02-2017;15:49:10;2
01-02-2017;15:49:10;2
01-02-2017;15:49:15;2
01-02-2017;15:49:16;2
01-02-2017;15:49:21;2
01-02-2017;15:49:23;2
01-02-2017;15:49:28;2
01-02-2017;15:49:29;2
01-02-2017;15:49:33;2
01-02-2017;15:49:34;2
01-02-2017;15:49:38;0
01-02-2017;15:49:40;0
01-02-2017;15:49:42;0
01-02-2017;15:49:44;0
01-02-2017;15:49:46;0
01-02-2017;15:49:48;0
01-02-2017;15:49:50;0
01-02-2017;15:49:52;1
01-02-2017;15:49:59;1
01-02-2017;15:50:06;0
01-02-2017;15:50:08;0
01-02-2017;15:50:10;0
01-02-2017;15:50:12;0
01-02-2017;15:50:15;0
01-02-2017;15:50:17;0
01-02-2017;15:50:19;0
01-02-2017;15:50:21;0
01-02-2017;15:50:23;0
01-02-2017;15:50:25;0
01-02-2017;15:50:27;0
01-02-2017;15:50:29;0
01-02-2017;15:50:31;0
01-02-2017;15:50:33;0
01-02-2017;15:50:35;0
01-02-2017;15:50:37;0
01-02-2017;15:50:39;0
01-02-2017;16:01:26;0
01-02-2017;16:01:28;0
01-02-2017;16:01:30;0
01-02-2017;16:01:32;0
01-02-2017;16:01:34;0
01-02-2017;16:01:36;0
01-02-2017;16:01:39;1
01-02-2017;16:01:46;0
01-02-2017;16:01:53;0
01-02-2017;16:01:55;0
01-02-2017;16:01:57;1
01-02-2017;16:02:04;1
01-02-2017;16:02:06;1
01-02-2017;16:02:08;1
01-02-2017;16:02:10;1
01-02-2017;16:02:12;1
01-02-2017;16:02:14;1
01-02-2017;16:02:16;1
01-02-2017;16:02:18;0
01-02-2017;16:02:26;0
01-02-2017;16:02:28;0
01-02-2017;16:02:30;0
01-02-2017;16:02:32;0
01-02-2017;16:02:34;0
01-02-2017;16:02:36;0
